50
543338	6	5	8	6	600
543339	4	8	10	11	950
543340	10	11	11	7	700
543344	6	10	10	9	850
543346	10	9	9	11	750
543350	3	6	7	5	600
543353	3	5	4	8	750
543354	3	5	10	10	800
543355	5	9	11	10	850
543357	6	10	11	10	850
543360	8	10	8	8	750
543361	4	7	10	8	900
543362	9	10	11	11	950
543365	3	5	8	2	500
543367	2	6	4	10	750
543368	6	6	8	8	900
543374	3	6	11	10	700
543376	5	9	10	10	650
543378	2	1	5	6	500
543379	4	4	8	9	650
543382	9	6	12	11	900
543383	3	6	11	11	800
543384	4	6	6	5	450
543385	2	6	5	5	600
543389	7	6	11	9	950
543391	5	3	10	7	600
543392	7	8	13	12	900
543393	6	11	11	7	900
543395	2	4	7	6	300
543396	6	6	11	8	500
543397	5	6	11	12	650
543399	5	3	8	7	650
543400	9	3	12	9	750
543401	6	5	6	11	650
543405	7	9	10	10	850
543407	5	9	14	10	700
543408	5	5	6	10	600
543410	7	7	7	8	500
543411	10	11	11	8	650
543415	9	9	10	11	800
543443	8	9	11	9	900
543445	3	3	10	5	600
543447	5	8	10	8	750
543449	6	5	9	7	800
543452	3	3	7	6	600
543453	5	7	6	6	650
543454	6	8	11	7	750
543456	4	5	10	7	800
543461	6	9	6	11	750
543463	6	4	7	6	500
